iter	Passed	Remaining
333	1399	695
334	1402	690
335	1405	686
336	1409	681
337	1412	677
338	1415	672
339	1419	667
340	1422	663
341	1425	658
342	1429	654
343	1433	649
344	1436	645
345	1439	640
346	1443	636
347	1446	631
348	1449	627
349	1453	622
350	1456	618
351	1459	613
352	1462	609
353	1466	604
354	1469	600
355	1473	595
356	1476	591
357	1480	587
358	1483	582
359	1487	578
360	1490	573
361	1493	569
362	1497	565
363	1500	560
364	1504	556
365	1507	552
366	1511	547
367	1514	543
368	1517	538
369	1521	534
370	1527	531
371	1531	526
372	1534	522
373	1537	518
374	1541	513
375	1544	509
376	1548	505
377	1551	500
378	1554	496
379	1558	492
380	1562	487
381	1565	483
382	1569	479
383	1572	474
384	1575	470
385	1579	466
386	1582	462
387	1586	457
388	1589	453
389	1593	449
390	1596	445
391	1599	440
392	1603	436
393	1606	432
394	1609	427
395	1613	423
396	1616	419
397	1619	415
398	1623	410
399	1626	406
400	1630	402
401	1633	398
402	1637	394
403	1640	389
404	1644	385
405	1647	381
406	1651	377
407	1654	373
408	1657	368
409	1660	364
410	1663	360
411	1667	356
412	1670	351
413	1673	347
414	1677	343
415	1680	339
416	1684	335
417	1687	331
418	1690	326
419	1694	322
420	1697	318
421	1700	314
422	1703	310
423	1707	306
424	1710	301
425	1713	297
426	1717	293
427	1720	289
428	1723	285
429	1726	281
430	1730	277
431	1734	272
432	1737	268
433	1741	264
434	1744	260
435	1748	256
436	1752	252
437	1755	248
438	1759	244
439	1762	240
440	1765	236
441	1769	232
442	1772	228
443	1775	223
444	1779	219
445	1782	215
446	1786	211
447	1789	207
448	1793	203
449	1796	199
450	1800	195
451	1804	191
452	1808	187
453	1811	183
454	1815	179
455	1818	175
456	1822	171
457	1825	167
458	1829	163
459	1832	159
460	1835	155
461	1839	151
462	1842	147
463	1846	143
464	1849	139
465	1852	135
466	1856	131
467	1859	127
468	1862	123
469	1866	119
470	1869	115
471	1873	111
472	1876	107
473	1879	103
474	1883	99
475	1886	95
476	1889	91
477	1893	87
478	1896	83
479	1900	79
480	1903	75
481	1906	71
482	1910	67
483	1913	63
484	1917	59
485	1920	55
486	1923	51
487	1927	47
488	1930	43
489	1934	39
490	1937	35
491	1940	31
492	1944	27
493	1947	23
494	1950	19
495	1954	15
496	1957	11
497	1960	7
498	1963	3
499	1967	0
