iter	Logloss
0	0.5604373535
1	0.4580232422
2	0.3800387451
3	0.3105955078
4	0.2702770508
5	0.2356516602
6	0.2036966797
7	0.1796367432
8	0.1641619629
9	0.1483566406
10	0.1343549072
11	0.123133252
12	0.1150583496
13	0.1077992432
14	0.1045324829
15	0.09941506348
16	0.09504035645
17	0.09133796387
18	0.08817307739
19	0.08537879639
20	0.08316646729
21	0.08139302368
22	0.07947052612
23	0.07810718384
24	0.0770925415
25	0.07594377441
26	0.07506660767
27	0.0739277832
28	0.07368216553
29	0.07291647949
30	0.07205278931
31	0.07163439941
32	0.07092958984
33	0.07043881836
34	0.0698598938
35	0.06940108032
36	0.0689197998
37	0.06848893433
38	0.0684309082
39	0.0679970459
40	0.06777750854
41	0.06742731323
42	0.06710861206
43	0.06670508423
44	0.06636162109
45	0.06611635742
46	0.06575636597
47	0.06543196411
48	0.06510632324
49	0.06479429932
50	0.0645939209
51	0.06458474121
52	0.06446195068
53	0.06435935059
54	0.06418181152
55	0.06403729858
56	0.06368817749
57	0.06351721802
58	0.06335357666
59	0.06318609009
60	0.06295238037
61	0.06273165894
62	0.06257316895
63	0.06247063599
64	0.06232191162
65	0.06224467773
66	0.06205806885
67	0.06194910889
68	0.06174863281
69	0.06164907227
70	0.06162266846
71	0.06148449097
72	0.06128382568
73	0.06122442627
74	0.06110181885
75	0.06098359375
76	0.06077171021
77	0.0606600647
78	0.06057799072
79	0.06041645508
80	0.06021641846
81	0.06012491455
82	0.06004089355
83	0.05994060059
84	0.05981669922
85	0.05970797119
86	0.05961439209
87	0.05949277344
88	0.05940998535
89	0.05930705566
90	0.0591956543
91	0.05907489624
92	0.0589864502
93	0.05888280029
94	0.05882788086
95	0.05876290894
96	0.05867716064
97	0.05864360352
98	0.05855732422
99	0.05841412964
100	0.05836032104
101	0.05823939819
102	0.05814455566
103	0.05804297485
104	0.05795805054
105	0.05789894409
106	0.05785458984
107	0.05776934814
108	0.05755020752
109	0.0574645874
110	0.05734383545
111	0.05728898926
112	0.05717813721
113	0.05711568604
114	0.05704284668
115	0.05693040771
116	0.05687017822
117	0.05683815918
118	0.05676556396
119	0.05670230103
120	0.05662091064
121	0.05660343018
122	0.05652964478
123	0.05645008545
124	0.05634799194
125	0.05618435059
126	0.05609628906
127	0.0559831604
128	0.05596635132
129	0.05588936768
130	0.05580106201
131	0.0557428772
132	0.05564219971
133	0.05557330322
134	0.05550020752
135	0.05544249878
136	0.05532125244
137	0.05518932495
138	0.05514545898
139	0.05506700439
140	0.05498682861
141	0.0548005127
142	0.05476854248
143	0.05471245728
144	0.05460287476
145	0.05451437378
146	0.05445775757
147	0.05438076782
148	0.05422559814
149	0.0541583252
150	0.054078125
151	0.05401604004
152	0.05397972412
153	0.05388980103
154	0.05384573975
155	0.05376738281
156	0.05370809326
157	0.05364967041
158	0.05358442383
159	0.05350999756
160	0.05346339111
161	0.0534295166
162	0.05336634521
163	0.05329782104
164	0.05321608276
165	0.05313183594
166	0.0530604126
167	0.05299219971
168	0.05293922119
169	0.05280856934
170	0.05267147217
171	0.05254119873
172	0.05242548218
173	0.05231696777
174	0.05223508301
175	0.05216799316
176	0.05211636963
177	0.05205400391
178	0.05193840942
179	0.05181027832
180	0.051771521
181	0.05169614868
182	0.05163419189
183	0.05155177612
184	0.05145349731
185	0.05135564575
186	0.05128012085
187	0.05121650391
188	0.05113702393
189	0.05107532349
190	0.05099190063
191	0.05095073242
192	0.0508494812
193	0.0507380127
194	0.05061373291
195	0.05054994507
196	0.05047001343
197	0.05040042419
198	0.05034851379
199	0.05027915955
200	0.05020012817
201	0.05001256409
202	0.04989946289
203	0.04981192932
204	0.04975665283
205	0.04966669922
206	0.04953060913
207	0.04944388428
