iter	Logloss
0	0.5071260071
1	0.3857503052
2	0.3022794189
3	0.2467351227
4	0.207074173
5	0.1781125793
6	0.157995575
7	0.1433020935
8	0.1301389465
9	0.121514267
10	0.1144235077
11	0.1074993591
12	0.103426651
13	0.09798353577
14	0.09419508362
15	0.0920914917
16	0.08945428467
17	0.08636510468
18	0.08311186981
19	0.07922022247
20	0.07611328125
21	0.07397389221
22	0.07237459564
23	0.06994687653
24	0.06845359802
25	0.06610795593
26	0.06457067871
27	0.062296978
28	0.06004967499
29	0.05907850266
30	0.0577048645
31	0.05654976654
32	0.05596808624
33	0.05449102783
34	0.05339788055
35	0.05295280838
36	0.05155631256
37	0.05055158615
38	0.04940423584
39	0.04834192657
40	0.04754877472
41	0.04714794922
42	0.04627812958
43	0.04573354721
44	0.04443392181
45	0.04390749359
46	0.0427181778
47	0.04257687378
48	0.04174701691
49	0.04068814468
50	0.04045735168
51	0.04035125351
52	0.03921398926
53	0.03875632858
54	0.03828343964
55	0.037602108
56	0.03726609421
57	0.03620695114
58	0.03539321136
59	0.03498320007
60	0.03435136414
61	0.03412727356
62	0.03359091568
63	0.03303831863
64	0.03264443207
65	0.03246122742
66	0.03198714828
67	0.03168411064
68	0.03115501022
69	0.03065235138
70	0.03032159424
71	0.03000118828
72	0.02951720047
73	0.02908368301
74	0.02858721924
75	0.02818847084
76	0.02781803513
77	0.02714139175
78	0.02669474792
79	0.02632277489
80	0.02600536346
81	0.02564427757
82	0.02514426041
83	0.02478806686
84	0.0245676651
85	0.02413213158
86	0.02388199997
87	0.02367494965
88	0.02295708084
89	0.0223927803
90	0.02226288605
91	0.02192944527
92	0.02181972885
93	0.02158103752
94	0.02134106827
95	0.02110885239
96	0.020846035
97	0.02053564835
98	0.02009104347
99	0.01972789574
100	0.0194746418
101	0.01933075333
102	0.0191559639
103	0.01880587769
104	0.01841003036
105	0.01817047882
106	0.01794584084
107	0.01784457397
108	0.01755429649
109	0.01750595856
110	0.01732450485
111	0.01718010902
112	0.01709930801
113	0.01687956047
114	0.0167251873
115	0.01643958664
116	0.01630379486
117	0.01607648468
118	0.01597000122
119	0.01579878902
120	0.01568798065
121	0.01536218452
122	0.01514129829
123	0.0149982233
124	0.01495827389
125	0.01477941513
126	0.01460483551
127	0.0144920826
128	0.01437912178
129	0.01426160622
130	0.01410824776
131	0.01387863159
132	0.01372815704
133	0.01361778069
134	0.01347641754
135	0.01333605576
136	0.01307103348
137	0.01294277573
138	0.01287077427
139	0.01267261887
140	0.01262438393
141	0.01243803024
142	0.01234913731
143	0.01219224834
144	0.01206331348
145	0.01182965469
146	0.01169324493
147	0.01159954834
148	0.01141985321
149	0.01136362076
150	0.01131857681
151	0.01125387859
152	0.01107070446
153	0.01102425575
154	0.01095961571
155	0.01084186172
156	0.01079027176
157	0.01063511276
158	0.01057056141
159	0.01042025185
160	0.01034874344
161	0.01027972412
162	0.01012922001
163	0.01010409164
164	0.0100291605
165	0.009920410156
166	0.009856675148
167	0.009731910706
168	0.009669225693
169	0.009566799164
170	0.009544557571
171	0.009524852753
172	0.009398901939
173	0.009328310013
174	0.00930267334
175	0.00923180294
176	0.009106876373
177	0.009044482231
178	0.008980020523
179	0.008914731979
180	0.00880381012
181	0.008773565292
182	0.008749289513
183	0.008656520844
184	0.008562082291
185	0.008464691162
186	0.008408881187
187	0.008304777145
188	0.008210466385
189	0.008149282455
190	0.008105594635
191	0.008029137611
192	0.007981054306
193	0.007950586319
194	0.007950586319
195	0.007874778271
196	0.007808341026
197	0.007744763374
198	0.007692881107
199	0.007692801476
200	0.007628852844
201	0.007611274719
202	0.007574901581
203	0.00748684454
204	0.007406323433
205	0.007307750702
206	0.007223206043
207	0.007183462143
208	0.007125926018
209	0.00704734993
210	0.006987021446
211	0.006928283215
212	0.00681786108
213	0.006764392853
214	0.006731505871
215	0.006653895378
216	0.006590459824
217	0.006516374588
218	0.006516381741
219	0.006485273361
220	0.006440506935
221	0.006373957634
222	0.006338148594
223	0.006280180931
224	0.006246945381
225	0.006217226982
226	0.006178071022
227	0.006178017616
228	0.006138851166
229	0.006083251953
230	0.005996008873
231	0.005962436676
232	0.005934026718
233	0.00587214756
234	0.005872097015
235	0.005818083763
236	0.005774004459
237	0.005774021626
238	0.00573132515
239	0.005731178761
240	0.005646764755
241	0.005621533394
242	0.005598244667
243	0.005565781593
244	0.005520234585
245	0.00552022171
246	0.005459131241
247	0.005459005356
248	0.005432110786
249	0.005402119637
250	0.005384819031
251	0.005357770443
252	0.00533825779
253	0.005307682991
254	0.00529151535
255	0.005252455711
256	0.005217161179
257	0.005217138767
258	0.005182324409
259	0.005182324409
260	0.005165625572
261	0.005143356323
262	0.005125342369
263	0.005104935169
264	0.005104934692
265	0.005092522144
266	0.005092544556
267	0.005092439651
268	0.005073167801
269	0.005047646999
270	0.005047595024
271	0.005047596931
272	0.00504757309
273	0.005047557354
274	0.005047522545
275	0.0050176754
276	0.004991355896
277	0.004991259098
278	0.004991259098
279	0.004991259098
280	0.004991259098
281	0.004963083267
282	0.004962952614
283	0.004962942123
284	0.004962882996
285	0.00496287775
286	0.004962842941
287	0.004962803841
288	0.004962803841
289	0.004962693214
290	0.004962693214
291	0.004962631702
292	0.004962447166
293	0.00496243
294	0.004962441444
295	0.004962259293
296	0.004962204933
297	0.004962240219
298	0.004962151527
299	0.00496219635
